location,collection_date,Lineage,count
"USA","2021-08-13","AY.1",1
"USA","2021-08-13","AY.11",2
"USA","2021-08-13","B.1.1.7",1
"USA","2021-08-18","AY.12",1
"USA","2021-08-14","AY.1",1
"USA","2021-08-14","AY.2",1
"USA","2021-08-13","AY.12",12
"USA","2021-08-15","AY.3",7
"USA","2021-08-14","AY.12",3
"USA","2021-08-17","AY.3",3
"USA","2021-08-16","AY.5",1
"USA","2021-08-13","B.1.617.2",168
"USA","2021-08-13","B.1.626",2
"USA","2021-08-13","AY.3",65
"USA","2021-08-18","AY.4",19
"USA","2021-08-13","AY.5",2
"USA","2021-08-14","AY.3.1",1
"USA","2021-08-16","AY.3",14
"USA","2021-08-13","AY.3.1",3
"USA","2021-08-16","AY.12",3
"USA","2021-08-14","AY.3",14
"USA","2021-08-15","AY.4",34
"USA","2021-08-15","B.1.617.2",76
"USA","2021-08-13","P.1",1
"USA","2021-08-16","B.1.617.2",102
"USA","2021-08-18","B.1.617.2",10
"USA","2021-08-16","AY.4",48
"USA","2021-08-15","AY.12",1
"USA","2021-08-15","B.1.621",1
"USA","2021-08-13","AY.4",204
"USA","2021-08-13","B.1.628",1
"USA","2021-08-13","AY.10",5
"USA","2021-08-18","AY.3",1
"USA","2021-08-18","P.1",1
"USA","2021-08-14","AY.11",4
"USA","2021-08-14","B.1.617.2",106
"USA","2021-08-17","AY.4",20
"USA","2021-08-17","B.1.617.2",20
"USA","2021-08-14","AY.4",56
